gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,costat,weburl
061753,2000-03-31,1999,INDL,C,D,STD,STRASBAUGH,USD,A,www.strasbaugh.com
061755,2000-12-31,2000,INDL,C,D,STD,ELCOM INTERNATIONAL INC,USD,A,www.elcom.com
061758,2000-12-31,2000,INDL,C,D,STD,EMERGING VISION INC,USD,I,www.emergingvision.com
061759,2000-12-31,2000,INDL,C,D,STD,CORE LABORATORIES INC,USD,A,www.corelab.com
061760,2000-12-31,2000,INDL,C,D,STD,DAL-TILE INTERNATIONAL INC,USD,I,
061761,2000-12-31,2000,INDL,C,D,STD,GRUPO ELEKTRA SA DE CV,USD,A,www.grupoelektra.com.mx
061763,2000-01-31,1999,INDL,C,D,STD,ELIZABETH ARDEN INC,USD,I,www.elizabetharden.com
061765,2000-12-31,2000,INDL,C,D,STD,REGENT ASSISTED LIVING INC,USD,I,
061766,2000-06-30,2000,INDL,C,D,STD,ASTROTECH CORP,USD,A,www.astrotechcorp.com
061769,2000-12-31,2000,INDL,C,D,STD,DTVN HOLDINGS INC,USD,I,
061774,2000-12-31,2000,INDL,C,D,STD,CLEAN DIESEL TECHNOLOGIS-OLD,USD,I,
061776,2000-09-30,2000,INDL,C,D,STD,T J T INC,USD,I,tjtusa.com
061777,2000-12-31,2000,INDL,C,D,STD,AMBANC HOLDING CO INC,USD,I,
061777,2000-12-31,2000,FS,C,D,STD,AMBANC HOLDING CO INC,USD,I,
061781,2000-09-30,2000,INDL,C,D,STD,AXCAN PHARMA INC,USD,I,www.aptalispharma.com
061786,2000-03-31,1999,INDL,C,D,STD,CLASSIC BANCSHARES INC,USD,I,
061786,2000-03-31,1999,FS,C,D,STD,CLASSIC BANCSHARES INC,USD,I,
061791,2000-12-31,2000,INDL,C,D,STD,AREA BANCSHARES CORP,USD,I,
061791,2000-12-31,2000,FS,C,D,STD,AREA BANCSHARES CORP,USD,I,
061793,2000-12-31,2000,INDL,C,D,STD,SPORTS RESORTS INTL INC,USD,I,
061795,2000-12-31,2000,INDL,C,D,STD,ROADWAY CORP,USD,I,
061803,2000-12-31,2000,INDL,C,D,STD,PROLONG INTERNATIONAL CORP,USD,I,
061811,2000-12-31,2000,INDL,C,D,STD,SOUTHERN COPPER CORP,USD,A,www.southernperu.com
061814,2000-12-31,2000,INDL,C,D,STD,BESI-BE SEMICONDUCTOR INDS,USD,A,www.besi.com
061815,2000-12-31,2000,INDL,C,D,STD,BROADWAY FINANCIAL CORP/DE,USD,A,www.cityfirstbank.com
061815,2000-12-31,2000,FS,C,D,STD,BROADWAY FINANCIAL CORP/DE,USD,A,www.cityfirstbank.com
061816,2000-12-31,2000,INDL,C,D,STD,INTEGRITY FINANCIAL CORP,USD,I,
061816,2000-12-31,2000,FS,C,D,STD,INTEGRITY FINANCIAL CORP,USD,I,
061826,2000-12-31,2000,INDL,C,D,STD,AZCAR TECHNOLOGIES INC,CAD,I,
061828,2000-12-31,2000,INDL,C,D,STD,HIGHLANDS INSURANCE GRP INC,USD,I,www.highlandsinsurance.com
061830,2000-03-31,1999,INDL,C,D,STD,GLOBAL SEAFOOD TECHNOLOGY,USD,I,globalseafoodtechnologies.com
061831,2000-08-31,2000,INDL,C,D,STD,ECHOCATH INC  -CL A,USD,I,
061832,2000-12-31,2000,INDL,C,D,STD,CAPITAL CORP OF THE WEST,USD,I,
061832,2000-12-31,2000,FS,C,D,STD,CAPITAL CORP OF THE WEST,USD,I,
061835,2000-12-31,2000,INDL,C,D,STD,PENINSULA HLDGS GROUP LTD,USD,I,
061836,2000-12-31,2000,INDL,C,D,STD,TITAN PHARMACEUTICALS INC,USD,A,www.titanpharm.com
061838,2000-12-31,2000,INDL,C,D,STD,USABANCSHARES.COM INC,USD,I,
061838,2000-12-31,2000,FS,C,D,STD,USABANCSHARES.COM INC,USD,I,
061839,2000-09-30,2000,INDL,C,D,STD,AMERIGAS PARTNERS  -LP,USD,I,www.amerigas.com
061840,2000-12-31,2000,INDL,C,D,STD,CREDIT SUISSE USA INC,USD,I,
061840,2000-12-31,2000,FS,C,D,STD,CREDIT SUISSE USA INC,USD,I,
061858,2000-12-31,2000,INDL,C,D,STD,BIOCORAL INC,USD,I,www.biocoral.com
061859,2000-12-31,2000,INDL,C,D,STD,SOURCECORP INC,USD,I,
061860,2000-12-31,2000,INDL,C,D,STD,5B TECHNOLOGIES CORP,USD,I,www.5btech.com
061866,2000-12-31,2000,INDL,C,D,STD,CENTRAL COAST BANCORP,USD,I,
061866,2000-12-31,2000,FS,C,D,STD,CENTRAL COAST BANCORP,USD,I,
061869,2000-09-30,2000,INDL,C,D,STD,TRAILMOBILE CDA LTD,CAD,I,
061870,2000-06-30,2000,INDL,C,D,STD,OPEN TEXT CORP,USD,A,www.opentext.com
061871,2000-12-31,2000,INDL,C,D,STD,PHARMACEUTICAL PROD DEV INC,USD,I,www.ppdi.com
061872,2000-01-31,1999,INDL,C,D,STD,INNOVATIVE CLINICAL SOLUTNS,USD,I,
061877,2000-09-30,2000,INDL,C,D,STD,NEON COMMUNICATIONS GROUP,USD,I,www.globix.com
061880,2000-06-30,2000,INDL,C,D,STD,INTEGRATED BIOPHARMA INC,USD,A,www.ibiopharma.com
061883,2000-12-31,2000,INDL,C,D,STD,EVOLVE ONE INC,USD,I,
061885,2000-12-31,2000,INDL,C,D,STD,COMMUNITY CAPITAL CORP,USD,I,
061885,2000-12-31,2000,FS,C,D,STD,COMMUNITY CAPITAL CORP,USD,I,
061888,2000-09-30,2000,INDL,C,D,STD,CONECTISYS CORP,USD,A,
061899,2000-12-31,2000,INDL,C,D,STD,ACERAGEN INC,USD,I,www.aceragen.com
061900,2000-12-31,2000,INDL,C,D,STD,LCA VISION INC,USD,I,www.lasikplus.com
061901,2000-12-31,2000,INDL,C,D,STD,NEOPHARM INC-OLD,USD,I,
061902,2000-12-31,2000,INDL,C,D,STD,NICE LTD,USD,A,www.nice.com
061903,2000-12-31,2000,INDL,C,D,STD,PERFORMANCE TECHNOLOGIES INC,USD,I,www.pt.com
061921,2000-12-31,2000,INDL,C,D,STD,CRONOS GROUP,USD,I,www.cronos.com/
061922,2000-12-31,2000,INDL,C,D,STD,AAVID THERMAL TECHNOLOGIES,USD,I,
061923,2000-10-31,2000,INDL,C,D,STD,AUTOLOGIC INFORMATION INTL,USD,I,
061925,2000-12-31,2000,INDL,C,D,STD,INDUSTRIAL SERVICES AMER INC,USD,I,www.isa-inc.com
061928,2000-12-31,2000,INDL,C,D,STD,TRIPLE P NV,USD,I,www.triple-p.nl
